;A5;C4;B2;A3;F6;D4;E5;C3;C2;E4;F2;A2;A4;E2;B1;E3;D3;C1;D1;D2;A1;B4;F4;E1;F5;F3;C5;F1;B3;W1;W2;X1;X2;Y1;Y2;Z1;Z2
1;4;3;5;4;5;2;6;6;5;5;4;4;6;5;5;6;2;4;5;3;5;4;4;5;5;4;6;4;3;4;5;6;2;3;5;4;3
2;3;5;6;6;5;1;2;6;6;2;4;4;4;3;5;6;1;6;1;1;6;1;1;4;5;3;6;4;6;4;3;5;1;3;3;4;2
3;4;3;5;2;3;5;3;5;6;2;3;2;5;3;5;5;3;5;5;3;5;2;2;2;5;5;5;3;4;5;5;4;3;4;5;4;5
4;3;4;6;2;4;2;6;5;6;5;4;2;5;6;5;4;2;4;3;2;5;2;4;3;2;4;4;2;4;5;4;6;4;2;3;5;4
5;3;3;4;5;4;2;5;3;3;2;2;4;4;6;4;5;3;5;6;3;6;2;4;5;5;3;4;3;2;4;4;4;3;3;3;4;3
6;4;5;4;3;3;2;6;4;6;5;3;3;4;6;5;6;2;5;2;4;6;3;5;3;4;4;5;3;3;2;5;5;4;2;4;5;3
7;3;5;3;2;4;2;6;6;6;3;3;2;4;6;3;6;2;6;5;2;6;4;4;4;6;4;6;3;5;4;3;3;4;4;6;5;4
8;4;5;6;2;3;5;6;3;6;6;4;4;5;6;6;6;4;6;6;5;4;3;2;3;5;6;6;5;5;1;6;6;1;4;4;5;3
9;2;5;6;3;5;5;6;5;5;6;4;6;4;6;2;6;5;6;6;5;6;1;6;6;5;5;6;5;5;2;6;6;1;3;3;6;3
10;4;5;5;3;4;2;6;6;6;4;5;5;5;6;4;6;4;6;5;3;5;4;4;4;6;5;6;5;4;5;2;2;5;5;3;4;5
11;3;5;4;2;6;5;6;6;6;4;3;3;4;6;5;6;4;6;5;4;6;3;5;4;4;6;6;4;5;5;3;4;3;5;2;4;4
12;2;5;4;4;4;3;5;4;6;3;5;1;2;6;5;5;2;6;4;6;4;1;4;4;4;5;6;4;3;3;4;3;5;5;2;2;2
13;3;4;6;5;6;3;5;6;6;4;5;3;2;5;5;3;2;5;6;2;5;2;3;4;5;4;6;2;4;2;5;5;2;5;1;5;2
14;3;3;5;3;4;2;5;6;6;5;3;4;5;5;5;6;3;6;4;4;6;3;6;3;5;4;6;2;4;5;2;2;5;5;3;3;3
15;5;2;3;2;4;1;5;6;6;3;2;4;5;6;5;6;2;5;6;4;5;4;3;4;3;4;4;5;4;6;2;2;6;6;1;6;3
16;4;4;5;3;3;4;6;6;5;3;4;4;4;6;4;4;4;3;4;4;4;2;3;3;4;4;4;3;3;3;6;5;1;3;3;4;3
17;3;4;4;2;4;4;5;4;6;5;3;2;4;6;4;5;3;5;4;5;4;2;3;4;3;2;2;3;3;3;4;4;1;3;4;5;2
18;2;6;6;4;6;6;4;6;6;3;4;4;4;3;2;5;4;6;6;6;5;2;5;3;4;5;6;4;1;3;4;5;6;6;3;6;4
19;2;6;6;4;3;2;6;6;6;4;4;2;6;6;6;5;2;6;5;2;6;5;4;3;4;4;6;3;4;5;5;4;5;6;5;5;6
20;1;6;3;6;6;4;6;6;6;5;6;3;2;6;6;6;3;6;6;3;6;1;6;4;5;6;6;6;3;2;6;6;1;1;6;6;6
21;4;2;4;5;6;6;3;6;6;3;3;5;5;4;2;5;6;6;6;6;5;1;5;1;4;6;6;4;2;4;4;5;6;5;4;6;5
22;1;6;5;3;6;5;5;6;6;4;6;6;5;5;4;5;5;6;5;3;5;3;5;6;4;6;6;6;3;3;5;5;3;4;5;6;5
23;3;6;3;6;6;2;2;6;6;6;6;2;5;5;6;6;6;5;1;5;4;2;5;3;4;4;6;6;2;1;2;3;3;6;3;6;3
24;1;3;5;2;2;3;5;6;6;3;3;3;4;4;3;6;4;6;6;4;6;2;2;3;4;6;6;2;2;2;6;4;3;2;3;4;3
25;2;3;4;5;5;5;6;6;6;3;4;2;6;6;6;6;3;5;3;4;6;1;5;4;1;4;6;2;2;1;3;6;6;1;1;3;6
26;2;5;5;4;6;4;6;5;5;2;5;5;5;5;6;4;3;2;3;3;5;2;5;4;3;4;3;5;4;5;3;4;5;2;3;3;4
27;4;5;5;5;5;4;6;6;6;5;4;3;2;6;5;6;4;5;6;6;5;4;4;3;5;5;6;6;5;2;6;4;5;2;5;5;2
28;4;3;4;2;5;4;6;5;6;2;3;5;6;6;5;6;2;5;6;4;5;2;4;2;1;5;6;5;1;1;3;2;5;5;6;5;6
29;2;3;6;5;1;2;6;6;6;4;4;5;5;6;4;6;2;6;5;2;4;1;5;6;5;3;6;5;5;2;6;6;1;2;5;6;2
30;5;4;6;4;5;4;2;6;6;2;3;2;4;2;6;5;4;2;3;3;5;5;4;3;2;4;4;3;4;4;3;3;4;5;3;4;5
31;4;2;3;3;4;4;5;6;6;4;4;4;5;5;2;6;4;6;6;4;6;1;6;3;5;6;6;6;3;2;5;5;2;2;4;5;2
32;4;6;6;4;6;5;4;6;6;3;5;5;6;5;5;4;5;6;6;6;6;5;3;4;6;6;6;6;6;3;3;6;1;3;3;1;6
33;5;4;6;6;3;3;5;5;6;3;4;3;5;4;5;6;2;3;2;4;6;2;6;6;5;5;6;5;3;6;4;3;6;6;2;6;5
34;3;6;6;4;4;3;4;6;6;3;5;4;3;5;5;6;2;5;4;3;6;4;3;3;4;3;6;4;4;5;4;6;4;3;3;3;3
35;2;3;4;4;3;2;6;6;5;4;3;5;6;6;3;6;3;6;6;4;5;1;3;4;6;4;6;6;6;6;5;6;5;6;4;6;6
36;4;2;6;3;4;5;2;6;6;5;4;5;5;4;5;6;4;6;6;4;5;3;6;4;6;5;6;5;5;4;3;3;5;5;4;5;5
37;3;6;5;4;5;5;6;5;6;5;5;4;4;6;3;6;5;6;6;5;5;3;6;3;5;5;6;5;4;3;5;5;4;4;3;5;4
38;4;4;6;4;3;4;6;6;6;4;4;3;5;5;5;6;4;4;5;4;5;3;4;5;6;5;6;4;4;4;4;5;3;4;3;4;5
39;3;4;5;4;6;5;5;6;6;5;4;4;5;5;5;5;4;6;4;4;6;4;4;4;6;6;6;5;5;5;3;2;6;3;3;3;4
40;3;5;6;6;6;5;6;5;5;5;5;4;4;6;5;6;5;3;6;5;3;3;4;5;4;5;6;5;4;4;5;5;3;4;4;6;5
41;3;4;6;6;4;5;3;6;6;4;6;5;5;6;4;6;5;6;6;5;6;4;4;4;5;5;6;6;4;2;5;5;4;4;5;6;5
42;2;2;5;2;6;4;2;6;6;4;5;4;5;5;6;5;6;6;6;5;6;1;5;3;5;6;6;6;3;2;4;3;3;5;4;6;4
43;2;5;6;4;3;3;5;6;6;5;5;2;3;5;4;5;4;6;5;5;6;1;5;4;5;3;6;5;5;4;5;5;3;4;3;4;5
44;4;1;4;6;6;4;1;6;6;4;2;1;5;4;4;6;2;6;6;6;6;4;4;4;5;5;6;6;3;5;6;1;6;1;6;6;1
45;5;4;5;2;1;2;4;4;4;4;2;3;5;5;6;6;2;4;5;3;6;2;5;2;3;5;5;2;3;2;4;5;2;2;3;5;3
46;4;2;3;5;3;5;6;6;6;5;5;4;4;6;4;6;5;6;6;5;3;2;5;4;3;4;6;5;3;3;6;6;2;4;4;3;3
47;4;1;5;2;6;2;4;6;6;3;5;5;6;4;6;6;2;6;5;2;5;1;5;4;6;5;6;5;5;3;4;5;1;4;3;6;6
48;4;1;3;2;4;4;5;6;6;4;3;4;6;5;4;5;2;6;6;4;5;1;6;5;3;5;6;3;2;1;6;4;3;3;3;6;3
49;3;1;5;5;6;3;5;6;6;6;6;3;5;5;4;4;3;6;6;5;5;3;4;4;6;6;6;4;6;6;5;5;6;3;3;6;6
50;3;2;5;5;4;4;6;5;5;5;5;2;5;5;3;3;2;3;5;5;6;2;4;6;5;3;5;2;2;2;5;5;2;2;4;3;5
51;4;2;3;1;2;2;3;6;6;5;3;3;6;6;6;6;2;4;3;2;4;3;3;3;1;1;6;3;4;2;4;5;5;3;3;3;4
52;3;2;4;3;5;5;2;6;6;3;4;4;4;4;4;4;4;5;5;5;5;3;4;4;5;4;5;4;5;6;4;5;1;1;4;4;4
53;5;2;5;5;4;3;6;6;6;4;5;3;6;6;5;6;4;4;4;3;6;5;3;5;4;3;6;4;2;5;5;5;3;5;3;5;5
54;2;5;6;3;3;3;6;6;6;5;5;3;4;6;3;6;3;6;5;3;4;1;4;3;3;3;6;3;3;4;5;5;4;4;5;5;5
55;2;3;5;5;6;5;4;5;6;4;5;3;5;4;5;5;5;6;5;5;5;3;5;6;6;5;6;5;5;6;3;2;5;3;5;2;5
56;2;3;5;6;6;4;6;6;6;4;6;6;6;6;5;5;3;5;6;3;5;4;2;3;5;4;5;5;4;1;5;5;4;2;4;6;2
57;3;5;5;3;1;1;6;5;5;3;3;1;3;5;4;6;3;6;6;3;3;3;3;4;1;3;3;6;1;3;3;3;6;3;3;3;4
58;2;1;6;5;6;6;6;6;6;2;4;4;4;5;5;5;3;5;6;4;6;4;5;6;4;5;6;4;5;2;6;6;2;2;5;6;5
59;6;4;6;3;2;4;6;3;6;4;4;3;6;6;6;5;4;3;6;4;5;1;5;6;5;3;2;3;5;4;5;6;1;4;3;5;5
60;6;4;3;2;2;1;5;6;6;4;3;6;6;5;1;5;3;6;6;4;5;3;6;2;5;6;6;3;2;1;6;6;1;3;4;6;2
61;2;4;5;4;5;6;2;5;5;6;4;5;5;6;2;6;4;4;5;5;4;2;5;3;5;4;5;2;3;3;5;4;2;5;3;5;4
62;2;5;6;4;5;3;5;6;6;4;5;6;5;4;3;6;2;6;6;4;5;1;3;3;5;4;6;5;4;1;6;5;4;4;5;6;2
63;2;6;6;6;6;6;4;6;6;4;3;3;3;5;5;6;6;6;6;5;6;1;3;3;5;6;6;4;4;3;6;5;3;3;5;6;4
64;2;6;6;5;5;3;2;6;6;1;4;3;4;4;4;5;4;6;2;5;5;1;6;4;6;5;6;4;2;2;5;6;3;5;5;6;6
65;2;6;6;3;5;3;5;6;5;2;3;1;2;5;5;5;4;6;4;3;5;3;4;3;5;4;6;5;4;4;5;5;3;3;5;6;3
66;3;4;3;1;2;3;4;6;6;2;4;4;5;4;2;6;4;5;5;4;6;2;5;4;5;5;6;4;2;5;4;5;5;4;3;5;5
67;2;6;6;5;5;5;2;6;6;2;4;3;3;3;3;4;4;6;5;5;6;1;3;3;6;6;6;6;4;1;6;6;1;1;6;6;1
68;4;6;4;5;6;5;3;6;6;6;5;6;5;4;5;6;1;6;2;4;6;1;5;5;6;5;5;4;4;2;5;5;3;3;5;6;4
69;5;1;5;1;3;2;1;6;6;2;2;1;5;1;6;2;2;6;1;2;6;2;1;1;1;1;6;3;1;3;5;6;3;2;3;6;6
70;1;6;4;6;5;6;6;6;6;3;5;4;3;6;4;6;5;6;3;2;5;1;4;3;6;6;6;5;4;6;5;6;6;6;4;6;5
71;4;5;6;2;6;5;6;6;6;2;3;4;5;6;6;6;5;6;6;6;6;1;6;2;5;6;6;6;2;3;6;6;1;3;4;6;3
72;2;1;6;6;6;3;6;5;6;4;4;6;6;6;2;6;3;6;4;4;6;5;5;4;5;6;6;4;4;2;5;6;1;3;6;6;4
73;2;4;6;3;6;6;6;6;6;5;4;4;4;6;4;6;6;5;6;6;6;5;5;3;6;4;6;6;4;5;5;4;5;2;6;6;3
74;6;3;2;3;1;1;5;4;5;2;2;2;5;6;3;5;1;5;3;1;3;6;3;3;2;2;6;2;4;6;3;3;5;6;1;3;5
75;4;4;5;3;6;6;1;6;6;3;4;1;5;1;5;1;5;6;6;2;6;4;3;1;5;6;6;4;6;4;5;5;6;3;3;6;2
76;2;6;4;5;4;4;6;6;6;5;4;6;6;6;3;5;4;6;6;2;1;1;6;2;3;2;6;4;1;1;6;6;1;1;6;6;1
77;4;5;6;4;3;4;1;6;6;3;3;5;6;6;6;4;6;5;6;6;6;2;2;3;6;6;6;4;4;3;6;4;6;5;4;3;6
78;2;3;5;6;3;6;6;6;6;4;5;6;2;5;5;6;3;6;4;3;5;2;3;2;3;5;6;2;5;6;6;4;4;3;5;5;4
79;2;6;6;6;6;5;6;6;6;5;5;4;5;6;4;6;4;6;6;4;4;2;6;4;4;5;6;5;5;3;4;4;4;3;4;5;3
80;4;2;6;3;5;5;6;6;6;2;6;5;6;6;6;6;4;5;5;3;6;2;3;2;6;4;5;2;5;3;6;4;3;2;5;5;4
81;5;2;5;3;3;3;3;6;6;3;3;3;5;5;3;5;3;6;6;4;6;2;4;3;4;4;6;3;6;6;5;4;2;3;3;4;4
82;2;4;4;6;5;4;5;6;6;3;3;5;5;6;4;6;4;6;6;4;3;2;3;4;6;4;4;3;2;5;4;4;5;5;5;5;4
83;2;6;4;5;4;2;6;6;6;4;6;5;6;6;5;4;2;6;2;2;4;4;5;4;6;6;6;6;4;6;2;4;6;6;2;6;2
84;3;4;6;4;6;5;6;6;6;4;5;5;4;6;4;4;4;6;6;4;5;4;3;3;2;4;5;4;5;5;6;5;4;5;3;5;5
85;4;6;5;1;3;2;5;6;6;5;2;1;5;5;2;2;1;6;4;2;4;1;2;2;1;2;6;1;5;6;2;5;6;6;2;5;2
86;2;5;4;2;5;5;6;6;6;4;1;2;4;5;1;5;2;6;3;4;2;1;4;4;2;5;5;2;1;3;3;6;1;3;3;3;2
87;3;3;5;2;4;4;4;4;6;6;3;3;5;4;4;5;3;4;5;4;5;2;4;5;4;5;6;3;2;5;3;5;3;5;3;6;1
88;4;4;4;3;5;5;4;6;6;4;5;4;4;5;4;5;3;6;6;5;5;3;4;4;5;6;6;4;4;3;5;4;4;3;4;6;4
89;2;5;5;2;4;5;5;6;6;3;3;5;4;5;3;5;4;6;5;4;5;3;5;4;5;5;6;2;4;5;6;6;2;1;6;5;5
90;4;5;5;6;6;5;5;6;6;4;6;4;4;5;5;5;3;6;6;4;6;4;3;3;4;6;6;3;4;5;4;4;4;2;2;4;5
91;3;6;4;2;5;5;6;6;6;3;4;3;5;4;4;5;5;6;4;4;5;3;4;4;5;5;6;3;2;3;4;3;3;2;4;3;5
92;2;4;2;2;5;4;2;5;6;5;4;1;1;3;3;6;4;2;4;4;4;1;5;4;4;6;6;3;2;1;4;6;1;1;4;5;3
93;4;3;6;4;5;5;6;6;6;3;2;2;4;6;4;6;5;3;6;4;4;4;4;3;2;3;4;3;3;4;6;6;1;2;2;2;6
94;2;3;4;5;5;3;4;6;6;4;5;2;3;3;4;5;2;6;5;3;4;1;2;4;5;4;6;4;2;1;4;5;2;2;3;4;4
95;2;3;6;3;5;5;4;6;6;5;6;5;6;4;4;4;5;6;6;4;4;4;3;5;6;5;6;6;4;5;5;3;6;6;4;6;5
96;1;5;2;5;5;3;5;5;6;4;5;3;3;5;4;5;3;6;6;4;5;1;4;5;3;4;4;4;2;3;4;5;4;3;4;5;3
97;1;6;6;4;6;3;6;6;6;2;2;4;4;6;3;5;5;6;6;5;5;1;3;3;4;3;6;6;4;1;6;6;1;1;2;6;3
98;3;5;6;5;5;5;6;6;6;4;4;4;4;5;4;6;4;6;5;5;6;1;3;5;5;5;6;3;4;3;5;5;3;3;4;4;4
99;1;4;3;5;4;3;6;6;6;2;4;1;2;6;4;5;2;6;6;5;2;2;5;4;5;3;6;4;5;4;5;5;2;2;4;6;5
100;1;6;6;3;6;6;5;6;6;2;5;1;2;5;6;4;6;6;2;3;6;3;3;2;5;6;6;5;4;6;3;6;1;3;5;6;4
101;4;5;2;1;4;5;6;6;6;3;5;4;4;6;4;6;5;6;6;4;5;1;5;4;6;6;6;5;2;4;6;5;2;3;5;6;5
102;3;3;4;2;6;5;5;6;6;4;6;4;4;5;5;5;5;6;5;6;4;3;3;2;2;6;6;5;4;5;5;3;3;3;3;6;2
103;2;6;5;4;4;6;6;5;6;5;5;4;5;6;6;6;5;6;5;5;5;2;4;4;4;3;5;4;3;4;3;4;3;4;4;4;4
104;4;5;4;5;5;1;5;5;5;3;4;2;5;6;3;6;3;5;2;4;5;3;6;2;2;2;5;2;3;4;3;2;5;5;3;4;5
105;4;6;6;6;5;4;6;6;6;3;5;4;5;6;6;6;4;2;4;5;6;5;6;6;4;4;6;6;4;4;4;6;5;1;4;5;6
106;4;5;6;2;3;1;6;6;6;5;4;3;4;6;4;5;2;4;3;2;5;4;5;5;4;4;5;4;4;3;5;4;3;5;4;6;5
107;5;4;6;5;5;4;6;5;6;3;4;4;5;5;5;6;3;5;2;2;4;2;5;3;2;3;5;2;3;2;6;4;3;3;5;5;5
108;2;6;6;6;6;6;6;6;6;4;6;4;5;6;6;6;5;5;6;4;6;2;6;6;6;6;6;5;6;4;5;4;4;3;5;5;5
